Ref,Qty,Desc,Mfg,MPN
C1 C5 C11 C12 C13,5,CAP CER 1UF 10V X7R 0805,Samsung Electro-Mechanics,CL21B105KPFNNNE
C2 C3 C6 C7 C8 C9 C14 C17 C18 C24 C33 C38,12,CAP CER 0.1UF 50V X7R 0805,Samsung Electro-Mechanics,CL21B104KBCNNNC
C4,1,CAP CER 10000PF 50V X7R 0805,Samsung Electro-Mechanics,CL21B103KBANNNC
C10 C16,2,CAP FILM 0.47UF 20% 16VDC 1206,Panasonic Electronic Components,ECP-U1C474MA5
C15,1,CAP ALUM 10UF 20% 16V SMD,Würth Elektronik,865080340001
C19 C20 C21 C23 C26 C30 C34 C37 C39,9,CAP CER 330PF 50V C0G/NPO 0805,YAGEO,CC0805JRNPO9BN331
C22,1,CAP TANT 10UF 10% 16V 1206,KYOCERA AVX,TAJA106K016RNJ
C25,1,DO NOT POPULATE,DNP,DNP
C27 C28 C29,3,CAP FILM 1UF 20% 16VDC 1210,Panasonic Electronic Components,ECP-U1C105MA5
C31,1,CAP ALUM 220UF 20% 10V SMD,Nichicon,UWX1A221MCL1GB
C32,1,CAP ALUM 100UF 20% 10V SMD,Panasonic Electronic Components,EEE-HA1A101WP
C35,1,CAP CER 560PF 50V C0G/NPO 0805,YAGEO,CC0805JRNPO9BN561
C36,1,CAP CER 4.7UF 16V X7R 0805,Murata Electronics,GRM21BR71C475KE51L
D1,1,LED COOL WHITE CLEAR 5MM T/H,"CreeLED, Inc.",C535A-WJN-CU0W0231
DA1 DA3,2,DIODE ARRAY GP 80V 100MA UMD6,Rohm Semiconductor,UMP11NTN
DA2 DA4,2,DIODE ARRAY GP 80V 100MA UMD6,Rohm Semiconductor,UMN11NTN
DA5,1,DIODE ARRAY GP 180V 200MA SOT23,Micro Commercial Co,MMBD1503-TP
H1,1,CONN CARDEDGE 72POS 2.50MM,Xunbeifang,GNI06700
H2 H3 H4,3,CONN RCPT 3POS 0.1 GOLD PCB,Samtec Inc.,SLW-103-01-F-S
H5 H6,2,CONN HEADER VERT 7POS 2MM,Adam Tech,2SH-C-07-TS
J1,1,CONN RCA JACK MONO 3.2MM R/A,CUI Devices,RCJ-044
J2,1,CONN RCA JACK MONO 3.2MM R/A,CUI Devices,RCJ-042
J3,1,CONN JACK 4COND 3.5MM R/A,CUI Devices,SJ-43514
J4,1,CONN RCPT TYPE C 6P SMD RA,GCT,USB4125-GF-A
P1,1,TRIM 100K OHM 0.5W GW TOP ADJ,Bourns Inc.,3361P-1-104GLF
Q1,1,TRANS PNP 40V 200MA TO236AB,Nexperia USA Inc.,"PMBT3906,235"
R1,1,RES 100K OHM 1% 1/8W 0805,Stackpole Electronics Inc,RMCF0805FT100K
R2 R15 R16 R17 R18,5,RES 10K OHM 1% 1/8W 0805,YAGEO,RC0805FR-0710KL
