Ref,X,Y,R,Side
FIDUCIAL,17.02,86.36,0,Top
FIDUCIAL,107.19,86.36,0,Top
FIDUCIAL,107.19,4.57,0,Top
C1,52.2,81.79,0,Top
C2,17.14,80.01,270,Top
C3,85.73,80.01,270,Top
C4,65.15,78.74,90,Top
C5,39.24,76.84,270,Top
C6,48.39,74.68,180,Top
C7,76.84,72.26,270,Top
C8,44.07,71.25,0,Top
C9,76.84,67.95,270,Top
C10,87.63,66.55,90,Top
C11,85.47,62.74,180,Top
C12,89.54,62.74,0,Top
C13,82.17,61.98,270,Top
C14,106.93,61.6,270,Top
C15,77.85,57.66,0,Top
C16,86.11,54.48,180,Top
C17,71.37,49.28,90,Top
C18,31.75,32.51,0,Top
C19,14.61,32.26,270,Top
C20,49.02,32,270,Top
C21,14.61,28.19,270,Top
C22,52.71,27.56,90,Top
C23,14.61,24.13,90,Top
C24,105.16,20.45,0,Top
C25,63.5,19.56,90,Top
C26,14.61,20.07,90,Top
C27,75.06,16.13,270,Top
C28,78.61,16.13,270,Top
C29,82.17,16.13,270,Top
C30,14.61,16,270,Top
C31,44.96,15.62,90,Top
C32,93.22,14.35,270,Top
C33,18.16,13.46,0,Top
C34,14.61,11.94,270,Top
C35,51.69,11.81,0,Top
C36,95.63,7.11,90,Top
C37,14.61,7.87,270,Top
C38,104.14,7.37,90,Top
C39,14.61,3.81,90,Top
DA1,36.32,26.67,90,Top
DA2,40.64,26.67,90,Top
DA3,36.32,22.86,90,Top
DA4,40.64,22.86,90,Top
DA5,31.12,17.02,0,Top
J1,48.26,6.25,270,Top
J2,63.5,6.25,270,Top
J3,76.2,7.9,90,Top
J4,88.27,3.98,0,Top
P1,65.11,81.79,270,Bottom
Q1,51.69,18.29,180,Top
R1,107.95,81.53,0,Top
R2,78.61,78.11,270,Top
R3,50.16,71.12,90,Top
R4,52.71,71.12,90,Top
R5,55.25,71.12,90,Top
R6,84.33,70.36,0,Top
R7,81.03,69.98,270,Top
R8,84.33,67.82,0,Top
R9,81.03,66.04,90,Top
R10,90.17,66.04,270,Top
R11,84.33,65.28,0,Top
R12,82.17,57.91,90,Top
R13,81.53,54.61,180,Top
R14,90.68,54.23,0,Top
R15,50.16,38.1,0,Top
R16,31.75,35.05,180,Top
R17,52.71,33.66,270,Top
R18,45.09,30.99,180,Top
R19,51.05,22.61,270,Top
R20,99.57,16.38,0,Top
R21,51.69,14.73,0,Top
R22,63.5,13.84,270,Top
R23,86.11,9.02,0,Top
R24,90.42,9.02,180,Top
R25,61.6,41.27,270,Top
R26,63.5,41.27,270,Top
R27,65.41,41.27,270,Top
R28,67.31,41.27,270,Top
RA1,30.99,24.13,90,Top
S1,45.34,78.74,180,Top
S2,59.05,78.74,0,Top
S3,36.83,8.34,0,Top
S4,99.7,2.54,0,Top
S5,96.52,31.26,0,Top
U1,75.44,79.12,180,Top
U2,52.2,78.74,90,Top
U3,69.22,78.74,0,Top
U4,107.95,77.98,0,Top
U5,27.94,75.56,0,Top
U6,96.52,75.56,0,Top
U7,52.71,74.93,90,Top
U8,44.07,74.17,90,Top
U9,40.01,72.39,0,Top
U10,72.39,72.39,0,Top
U11,72.39,67.95,0,Top
U12,87.38,58.67,180,Top
U13,97.79,58.42,270,Top
U15,24.13,35.56,180,Top
U17,21.59,21.59,90,Top
U18,106.3,15.88,90,Top
U19,34.54,12.45,0,Top
U20,100.2,6.73,270,Top
U21,77.47,28.58,180,Top
U22,82.55,28.58,180,Top
