Ref,Qty,Desc,Mfg,MPN
C1 C2 C3,3,CAP CER 1UF 10V X7R 0805,Samsung Electro-Mechanics,CL21B105KPFNNNE
C4 C5 C6 C7 C8 C9 C10 C13 C18 C19 C20,11,CAP CER 0.1UF 50V X7R 0805,Samsung Electro-Mechanics,CL21B104KBCNNNC
C11 C12 C14,3,CAP ALUM 100UF 20% 16V SMD,Würth Elektronik,865080343009
C15 C16 C17,3,CAP ALUM 330UF 20% 25V SMD,Würth Elektronik,865080453014
J1,1,CONN RCA JACK MONO 3.2MM R/A YELLOW,CUI Devices,RCJ-044
J2 J8,2,CONN RCA JACK MONO 3.2MM R/A BLUE,CUI Devices,RCJ-045
J3 J7,2,CONN RCA JACK MONO 3.2MM R/A GREEN,CUI Devices,RCJ-046
J4 J9,2,CONN RCA JACK MONO 3.2MM R/A RED,CUI Devices,RCJ-042
J5 J6,2,CONN RCPT TYPE C 6P SMD RA,GCT,USB4125-GF-A
R1 R2 R3 R4 R5 R6 R12 R14 R15,9,RES 150 OHM 1% 1/8W 0805,YAGEO,RC0805FR-07150RL
R7,1,RES 680K OHM 1% 1/8W 0805,YAGEO,RC0805FR-07680KL
R8 R9 R10 R11,4,RES 5.1K OHM 1% 1/8W 0805,YAGEO,RC0805FR-075K1L
R13 R17 R19,3,RES 130 OHM 1% 1/8W 0805,YAGEO,RC0805FR-07130RL
R16,1,RES 300 OHM 1% 1/8W 0805,YAGEO,RC0805FR-07300RL
R18,1,RES 100 OHM 1% 1/8W 0805,YAGEO,RC0805FR-07100RL
U1,1,IC VIDEO SYNC SEPARATOR 8SOIC,Texas Instruments,LM1881M/NOPB
U2,1,IC SIGNAL ENCODER NTSC 24-SZIP,Rohm Semiconductor,BA7230LS
U3,1,IC AMP BUFFER 8SOIC,Texas Instruments,THS7314DR
