Ref,X,Y,R
C1,9,13,270
C2,9,28,270
C3,9,43,270
C4,15.5,9.25,0
C5,15.5,11.75,180
C6,15.5,22.75,180
C7,19.5,24.75,90
C8,21.5,29.75,0
C9,21.5,32.25,0
C10,21.5,34.75,0
C11,29.5,13,270
C12,29.5,23.5,180
C13,29.5,28.5,180
C14,29.5,43,90
C15,41,13,270
C16,41,28,270
C17,41,43,270
C18,44.5,20.5,90
C19,44.5,35.5,90
C20,44.5,50.5,90
J1,6.25,5.5,180
J2,6.25,20.5,180
J3,6.25,35.5,180
J4,6.25,50.5,180
J5,28,3.94,0
J6,28,52.06,180
J7,49.75,13,0
J8,49.75,28,0
J9,49.75,43,0
R1,4,13,90
R2,4,28,90
R3,4,43,90
R4,6.5,13,90
R5,6.5,28,90
R6,6.5,43,90
R7,15.5,20.25,180
R8,24,12.75,0
R9,24,15.25,0
R10,24,40.75,0
R11,24,43.25,0
R12,37,5.5,90
R13,39.5,5.5,270
R14,42,5.5,270
R15,44.5,5.5,270
R16,47,5.5,270
R17,47,20.5,270
R18,47,35.5,270
R19,47,50.5,270
U1,15.5,16,90
U3,29.5,32.75,270
